"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","PGS_pv_ols"
"Potassium urine",0.0022,0,0.0573,0.1,0.0022,0.37,0,-4.54545454545455,0,0.0574,0.0021,0.0365853658536585,0.1,0.0024,0.2418,4.54545454545455,-4.54545454545455,18.1818181818182,0.0578,-0.0011,-0.0122,-52.5454545454545,-4.73770491803279,0.1,0.1,-0.0130209371710523,2.42648386515023e-13
"Protein",0.0465,0,0.2285,0.01,0.0465,0.152,0,0,0,0.2285,3e-04,0.00131291028446389,0.01,0.0464,0.6251,-0.21505376344086,-0.64516129032258,0.43010752688172,0.2286,0.0079,0.0056,28.9367088607595,40.8214285714286,0.01,0.001,0.0501582888758948,2.75538651689098e-227
"Pulse rate",0.0204,0,0.1573,0.001,0.0202,0.6213,-0.490196078431373,-2.94117647058824,1.96078431372549,0.1575,0.0167,0.106031746031746,0.001,0.0202,0.6011,-0.490196078431373,-3.43137254901961,1.96078431372549,0.1574,-0.0053,0.0175,-29.6981132075472,8.99428571428571,0.001,1e-04,-0.0170736869045525,6.67546281273313e-55
"RBC",0.089,0,0.2746,0.005,0.0891,0.0204,0.112359550561798,0,0.112359550561798,0.2745,-0.0023,-0.00837887067395264,0.005,0.0891,0.6251,0.112359550561798,-0.337078651685393,0.449438202247191,0.2754,0.012,0.0065,22.95,42.3692307692308,0.005,0.5,0.00628267029238255,0
"Rheumatoid factor",2e-04,0.5795,0.0335,0.001,2e-04,0.7825,0,-100,300,0.0327,-0.0064,-0.195718654434251,0.001,0.0013,0.2252,600,-450,1350,0.0336,-0.0114,0.0326,-2.94736842105263,1.03067484662577,0.001,1e-06,-0.0598705398357444,0.579863097482706
"Right hand grip strength",0.0244,0,0.1205,0.1,0.0247,0.082,0.819672131147541,0,2.04918032786885,0.1208,0.0082,0.0678807947019868,0.1,0.0249,0.0902,2.04918032786885,-0.40983606557377,4.0983606557377,0.1206,0.008,-0.0124,15.075,-9.7258064516129,0.1,0.5,0.175307311131798,1.34751740595734e-135
"SHBG",0.0771,0,0.2735,0.001,0.0771,0.149,0,-0.12970168612192,0,0.2736,0.0018,0.00657894736842105,0.001,0.0774,0.0566,0.518806744487678,0,0.907911802853437,0.2733,0.0133,5e-04,20.5488721804511,546.6,0.001,1e-06,0.00452048789012839,0
"SHBG 0",0.1057,0,0.3149,0.001,0.1056,0.4414,0,-0.189214758751183,0.0946073793755913,0.315,0.0052,0.0165079365079365,0.001,0.1061,0.1986,0.378429517502365,-0.189214758751183,0.946073793755913,0.3145,0.0204,0.0036,15.4166666666667,87.3611111111111,0.001,1e-06,-0.0339331146713925,0
"Sodium urine",0.01,0,0.1077,0.1,0.0099,0.0846,-1,-2,0,0.1078,0.0059,0.0547309833024119,0.1,0.0099,0.4098,-1,-4,1,0.1074,4e-04,0.0128,268.5,8.390625,0.1,0.001,0.0673491186148397,7.50536315058484e-55
"Systolic BP",0.0294,0,0.1641,0.05,0.0294,0.7017,0,-0.340136054421769,0.340136054421769,0.1643,0.0046,0.0279975654290931,0.05,0.0291,0.0996,-1.36054421768708,-2.72108843537415,0.340136054421769,0.164,-1e-04,-0.0182,-1640,-9.01098901098901,0.05,1e-04,-0.276447275897768,7.87323871724313e-157
"Testosterone",0.0251,0,0.0792,1e-04,0.0251,0.9509,0,-1.19521912350598,1.19521912350598,0.0791,-0.0062,-0.0783817951959545,1e-04,0.0252,0.8041,0,-1.19521912350598,1.19521912350598,0.0792,0.002,-0.0053,39.6,-14.9433962264151,1e-04,0.1,0.0252596978088271,3.62124473388361e-121
"Testosterone 0",0.0174,0,0.0435,1e-04,0.0174,0.6861,0,-0.574712643678161,0.574712643678161,0.0435,0.001,0.0229885057471264,1e-04,0.0176,0.3328,1.14942528735632,-1.14942528735632,2.8735632183908,0.0425,0.004,0.0016,10.625,26.5625,1e-04,1e-10,0.0325752204877483,1.74056031752834e-84
"Triglycerides",0.0559,0,0.2545,0.005,0.056,0.087,0.178890876565295,0,0.178890876565295,0.2546,0.0034,0.0133542812254517,0.005,0.0557,0.3236,-0.35778175313059,-0.894454382826476,0.35778175313059,0.2544,0.0079,-0.0113,32.2025316455696,-22.5132743362832,0.005,1e-06,-0.0529998667885061,2.16918554323877e-299
"Urate",0.0874,0,0.2623,0.005,0.0874,0.8667,0,-0.22883295194508,0.22883295194508,0.262,-0.0073,-0.0278625954198473,0.005,0.0872,0.1562,-0.22883295194508,-0.68649885583524,0.11441647597254,0.2624,0.0109,0.0018,24.0733944954128,145.777777777778,0.005,0.005,-0.109198400280766,0
"Urea",0.024,0,0.1568,0.001,0.0241,0.8409,0,-1.25,1.66666666666667,0.1564,-0.0135,-0.0863171355498721,0.001,0.0237,0.3252,-1.25,-3.75,1.25,0.1563,7e-04,-0.0253,223.285714285714,-6.17786561264822,0.001,1e-08,-0.215514246528384,7.74672455326456e-128
"Vitamin D",0.0341,0,0.1972,0.001,0.0341,0.8787,0,-0.293255131964809,0.293255131964809,0.197,-0.004,-0.0203045685279188,0.001,0.0342,0.5291,0.293255131964809,-0.879765395894428,1.75953079178886,0.1867,-0.0077,-0.0217,-24.2467532467532,-8.6036866359447,0.001,1e-06,-0.0693525037701712,4.28811117740009e-174
"Waist circumference",0.0572,0,0.2278,0.05,0.0572,0.9481,0,-0.34965034965035,0.524475524475524,0.2281,0.0107,0.0469092503288032,0.05,0.0575,0.3304,0.524475524475524,-0.524475524475524,1.3986013986014,0.2277,0.0171,-0.0079,13.3157894736842,-28.8227848101266,0.05,0.1,-0.108634232164718,2.23317671920243e-320
"Whole body fat mass",0.0714,0,0.2757,0.1,0.0717,0.1158,0.280112044817927,-0.140056022408964,0.840336134453781,0.2759,0.0142,0.0514679231605654,0.1,0.0711,0.245,-0.420168067226891,-1.12044817927171,0.280112044817927,0.2748,0.0189,-0.0053,14.5396825396825,-51.8490566037736,0.1,0.05,-0.0701749667404907,0
"WHR adj BMI",0.038,0,0.1508,0.01,0.038,0.4826,0,-0.526315789473684,0.263157894736842,0.1508,0.0047,0.0311671087533157,0.01,0.0378,0.284,-0.526315789473684,-1.57894736842105,0.526315789473684,0.1508,0.0087,0.0072,17.3333333333333,20.9444444444444,0.01,0.01,-0.120675141130301,3.28504329736869e-211
