"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"SHBG",0.0269,0,0.2737,0.001,0.0287,0.0226,7.0631970260223,0.743494423791822,14.1263940520446,0.2755,-0.0686,-0.249001814882033,0.001,0.0354,2e-04,31.9702602230483,19.3308550185874,46.0966542750929,0.2405,-0.0116,-0.0868,-20.7327586206897,-2.77073732718894,0.001,1e-06
"SHBG 0",0.0356,0,0.3144,0.001,0.0358,0.163,0.561797752808989,-0.280898876404494,1.40449438202247,0.3147,-0.0109,-0.034636161423578,0.001,0.0361,0.4702,1.40449438202247,-2.52808988764045,5.61797752808989,0.3158,0.0237,-0.031,13.3248945147679,-10.1870967741935,0.001,1e-06
"Sodium urine",4e-04,0.0967,0.1081,0.5,3e-04,0.403,0,-50,0,0.1078,0.0111,0.102968460111317,0.5,5e-04,0.092,25,0,100,0.109,-0.0095,-0.0033,-11.4736842105263,-33.030303030303,0.5,0.05
"Systolic BP",0.003,0,0.1671,0.05,0.003,0.7661,0,-6.66666666666667,10,0.1671,-0.0182,-0.108916816277678,0.05,0.003,0.7713,0,-6.66666666666667,10,0.1672,0.0134,-0.01,12.4776119402985,-16.72,0.05,1e-04
"Testosterone",0.0043,0,0.0795,1e-04,0.0085,2e-04,97.6744186046512,32.5581395348837,190.697674418605,0.072,0.0827,1.14861111111111,1e-04,0.0063,0.2166,46.5116279069767,-20.9302325581395,148.837209302326,0.0521,0.0754,-0.0264,0.690981432360743,-1.97348484848485,1e-04,0.005
"Testosterone 0",0.0051,0,0.0439,1e-04,0.0052,0.5741,0,-1.96078431372549,3.92156862745098,0.0441,-0.0023,-0.0521541950113379,1e-04,0.0029,0.0632,-43.1372549019608,-98.0392156862745,1.96078431372549,0.0442,0.023,-0.0334,1.92173913043478,-1.32335329341317,1e-04,0.001
"Triglycerides",0.012,0,0.2554,0.005,0.0128,0.029,7.5,0.833333333333333,14.1666666666667,0.2556,0.0407,0.159233176838811,0.005,0.0095,0.0376,-20,-40.8333333333333,-1.66666666666667,0.2271,0.0813,0.0461,2.79335793357934,4.92624728850325,0.005,1e-10
"Urate",0.0221,0,0.2634,0.005,0.0228,0.0274,3.16742081447964,0.452488687782805,6.33484162895928,0.2638,-0.0272,-0.103108415466262,0.005,0.0264,2e-04,19.9095022624434,11.7647058823529,28.0542986425339,0.243,0.0147,-0.0688,16.530612244898,-3.53197674418605,0.005,1e-08
"Urea",0.0032,0,0.159,0.005,0.0031,0.2264,-3.125,-6.25,3.125,0.1589,0.0084,0.052863436123348,0.005,0.003,0.1944,-6.25,-15.625,3.125,0.159,-0.008,0.0124,-19.875,12.8225806451613,0.005,0.001
"Vitamin D",0.0018,5e-04,0.1973,0.001,0.0018,0.5513,0,-5.55555555555556,5.55555555555556,0.1971,0.0103,0.052257737189244,0.001,0.0013,0.1594,-27.7777777777778,-66.6666666666667,11.1111111111111,0.1919,0.0295,0.029,6.50508474576271,6.61724137931034,0.001,1e-08
"Waist circumference",0.0059,0,0.2287,0.05,0.0057,0.1392,-3.38983050847458,-6.77966101694915,1.69491525423729,0.229,-0.0162,-0.0707423580786026,0.05,0.0059,0.6975,0,-3.38983050847458,5.08474576271186,0.229,0.0117,-0.0099,19.5726495726496,-23.1313131313131,0.05,0.5
"Whole body fat mass",0.0096,0,0.2756,0.1,0.0097,0.8443,1.04166666666667,-4.16666666666667,6.25,0.276,-0.038,-0.13768115942029,0.1,0.0095,0.5317,-1.04166666666667,-4.16666666666667,2.08333333333333,0.2791,0.0223,-0.0015,12.5156950672646,-186.066666666667,0.1,0.5
"WHR adj BMI",0.0056,0,0.1511,0.01,0.0066,0.023,17.8571428571429,1.78571428571429,35.7142857142857,0.1515,-0.045,-0.297029702970297,0.01,0.0087,0.0042,55.3571428571429,17.8571428571429,98.2142857142857,0.1393,0.0139,-0.0732,10.021582733813,-1.90300546448087,0.01,1e-04
