"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"Lipoprotein a",0.3748,0,0.693,1e-10,0.3747,0.7049,0,-0.0533617929562433,0.0533617929562433,0.693,-0.0093,-0.0134199134199134,1e-10,0.3853,2e-04,2.8281750266809,1.57417289220918,4.02881536819637,0.6571,-0.0898,-0.1352,-7.3173719376392,-4.86020710059172,1e-10,1e-10,-0.00117982335387617,-0.0820342616882787,0
"Lipoprotein a 0",0.3323,0,0.6588,1e-08,0.3323,0.8849,0,-0.0300932891965092,0.0300932891965092,0.6588,0.0065,0.00986642380085003,1e-08,0.3336,0.0012,0.36111947035811,0.150466445982546,0.601865783930184,0.6651,-0.0082,-0.0293,-81.109756097561,-22.6996587030717,1e-08,1e-08,-0.0158292765044722,0.230278202895696,0
"Lymphocyte count",0.0205,0,0.1294,0.05,0.0205,0.9125,0,-0.975609756097561,0.975609756097561,0.1295,-0.0089,-0.0687258687258687,0.05,0.022,0.0016,7.31707317073171,2.4390243902439,12.1951219512195,0.1397,-0.0229,-0.0256,-6.10043668122271,-5.45703125,0.05,0.1,-0.0519588490847959,0.32655688605334,3.65203768580743e-111
"Mean corpuscular volume",0.092,0,0.3375,0.01,0.0921,0.8093,0,-0.108695652173913,0.108695652173913,0.3375,0.0047,0.0139259259259259,0.01,0.092,0.6453,-0.108695652173913,-0.326086956521739,0.217391304347826,0.3377,0.0104,0.0027,32.4711538461538,125.074074074074,0.01,0.5,0.0487672371521393,-1.3435613344888e-06,0
"Monocyte count",0.0469,0,0.2124,0.005,0.0467,0.3214,-0.426439232409382,-1.49253731343284,0.426439232409382,0.212,0.021,0.0990566037735849,0.005,0.0473,0.0898,0.852878464818764,-0.213219616204691,1.91897654584222,0.212,0.015,0.0101,14.1333333333333,20.990099009901,0.005,0.05,0.1988653137991,-0.00649840566007072,1.16177878203329e-254
"Neutrophill count",0.0506,0,0.2179,0.01,0.0506,0.8651,0,-0.197628458498024,0.197628458498024,0.218,-0.0038,-0.0174311926605505,0.01,0.0506,0.9567,0,-0.395256916996047,0.395256916996047,0.2179,-0.0097,5e-04,-22.4639175257732,435.8,0.01,1e-04,0.0334179754620665,-0.015557817325248,5.36094135324913e-275
"Phosphate",0.0405,0,0.2081,0.001,0.0405,0.9965,0,-0.987654320987654,0.987654320987654,0.208,0.0176,0.0846153846153846,0.001,0.0404,0.8373,0,-0.987654320987654,0.740740740740741,0.2101,-0.0126,-0.0089,-16.6746031746032,-23.6067415730337,0.001,0.001,-0.214909106546217,0.108083385430349,2.57250889597511e-197
"Platelet count",0.1346,0,0.3447,0.005,0.1348,0.2016,0.148588410104012,-0.074294205052006,0.445765230312036,0.345,-0.0166,-0.0481159420289855,0.005,0.135,0.365,0.297176820208024,-0.297176820208024,0.891530460624071,0.3434,-0.0159,-0.0268,-21.5974842767296,-12.8134328358209,0.005,1e-06,-0.212210313848429,-0.0488600420279281,0
"Platelet volume",0.2118,0,0.4643,0.001,0.2118,0.6127,0,-0.0472143531633617,0.0472143531633617,0.4644,-0.0036,-0.00775193798449612,0.001,0.2174,2e-04,2.64400377714825,1.88857412653447,3.39943342776204,0.452,-0.0333,-0.0594,-13.5735735735736,-7.60942760942761,0.001,1e-06,-0.048609871070848,-0.185645869124712,0
"Potassium urine",0.0022,0,0.0573,0.1,0.0022,0.0098,0,-4.54545454545455,0,0.0573,-0.0012,-0.0209424083769633,0.1,0.0024,0.4576,4.54545454545455,-9.09090909090909,22.7272727272727,0.0573,0.0127,-0.0131,4.51181102362205,-4.37404580152672,0.1,0.05,0.156247264180034,-0.020381432742186,2.22043869317307e-13
"Protein",0.0465,0,0.2288,0.01,0.0465,0.2962,0,0,0,0.2288,0,0,0.01,0.0481,0.0026,3.44086021505376,1.29032258064516,5.80645161290323,0.2387,-0.0225,-0.0359,-10.6088888888889,-6.64902506963788,0.01,1e-06,0.0494029099028461,0.231209808327236,1.84408021230418e-227
"Pulse rate",0.0206,0,0.157,0.001,0.0205,0.4662,0,-0.970873786407767,0.485436893203884,0.1569,0.0039,0.0248565965583174,0.001,0.0199,0.0548,-3.39805825242718,-7.28155339805825,0,0.1565,0.0214,0.0045,7.31308411214953,34.7777777777778,0.001,0.1,-0.0728246301506864,0.04586500283127,1.92480121059062e-55
"RBC",0.0885,0,0.2739,0.005,0.0885,0.6499,-0.112994350282486,-0.451977401129944,0.338983050847458,0.2737,0.0152,0.0555352575812934,0.005,0.0884,0.36,-0.225988700564972,-0.677966101694915,0.225988700564972,0.2739,0.015,-0.0037,18.26,-74.027027027027,0.005,1e-04,0.514592011185403,0.0166764727128758,0
"Rheumatoid factor",3e-04,0.4463,0.032,0.001,1e-04,0.7891,-66.6666666666667,-500,300,0.033,0.0143,0.433333333333333,0.001,1e-04,0.8053,-66.6666666666667,-766.666666666667,433.333333333333,0.0314,-0.0221,0.0114,-1.42081447963801,2.75438596491228,0.001,1e-06,0.00936603488249734,-0.00243970764638393,0.446650485485245
"Right hand grip strength",0.025,0,0.1213,0.1,0.027,2e-04,8,4.8,11.2,0.1211,0.0238,0.196531791907514,0.1,0.0263,0.001,5.2,2,8.4,0.1252,0.0085,-0.0208,14.7294117647059,-6.01923076923077,0.1,0.5,0.695048492260108,0.5036817321222,7.76694464214842e-139
"SHBG",0.0766,0,0.2737,0.001,0.0808,2e-04,5.35248041775457,3.52480417754569,7.31070496083551,0.2755,-0.0686,-0.249001814882033,0.001,0.0838,2e-04,9.26892950391645,6.00522193211488,12.6631853785901,0.2405,-0.0116,-0.0868,-20.7327586206897,-2.77073732718894,0.001,1e-06,-0.423770442583704,-0.47444614096162,0
"SHBG 0",0.1054,0,0.3144,0.001,0.1056,0.389,0.094876660341556,-0.094876660341556,0.379506641366224,0.3147,-0.0109,-0.034636161423578,0.001,0.1057,0.5943,0.284629981024668,-0.664136622390892,1.23339658444023,0.3158,0.0237,-0.031,13.3248945147679,-10.1870967741935,0.001,1e-06,-0.438790905109223,0.203905873458625,0
"Sodium urine",0.0105,0,0.1081,0.5,0.0106,0.7883,0,-1.9047619047619,2.85714285714286,0.1078,0.0111,0.102968460111317,0.5,0.0106,0.7451,0,-1.9047619047619,2.85714285714286,0.109,-0.0095,-0.0033,-11.4736842105263,-33.030303030303,0.5,0.05,0.249499057966719,0.100601929204282,1.42690885597246e-57
"Systolic BP",0.0298,0,0.1671,0.05,0.03,0.4124,0.671140939597315,-0.671140939597315,2.01342281879195,0.1671,-0.0182,-0.108916816277678,0.05,0.0298,0.7389,-0.335570469798658,-1.67785234899329,1.34228187919463,0.1672,0.0134,-0.01,12.4776119402985,-16.72,0.05,1e-04,0.173814375388021,-4.51150170166746e-05,6.37770141816338e-159
"Testosterone",0.0252,0,0.0795,1e-04,0.0518,2e-04,105.952380952381,88.4920634920635,124.206349206349,0.072,0.0827,1.14861111111111,1e-04,0.0515,2e-04,104.365079365079,85.3174603174603,124.603174603175,0.0521,0.0754,-0.0264,0.690981432360743,-1.97348484848485,1e-04,0.005,0.895410010529321,0.702553870329059,1.92807464253253e-121
"Testosterone 0",0.0181,0,0.0439,1e-04,0.0181,0.6909,0,-0.552486187845304,1.10497237569061,0.0441,-0.0023,-0.0521541950113379,1e-04,0.0305,2e-04,68.5082872928177,51.3812154696133,86.7403314917127,0.0442,0.023,-0.0334,1.92173913043478,-1.32335329341317,1e-04,0.001,0.939982378952654,0.0106839456904695,1.81007690179158e-87
"Triglycerides",0.0563,0,0.2554,0.005,0.0578,0.0018,2.66429840142096,1.06571936056838,4.61811722912966,0.2556,0.0407,0.159233176838811,0.005,0.0656,2e-04,16.696269982238,12.7886323268206,20.6039076376554,0.2271,0.0813,0.0461,2.79335793357934,4.92624728850325,0.005,1e-10,0.235193765257178,0.312393772135681,1.611415417958e-301
"Urate",0.0868,0,0.2634,0.005,0.0876,0.0112,1.036866359447,0.230414746543779,1.84331797235023,0.2638,-0.0272,-0.103108415466262,0.005,0.0916,2e-04,5.52995391705069,3.57142857142857,7.6036866359447,0.243,0.0147,-0.0688,16.530612244898,-3.53197674418605,0.005,1e-08,0.536758169518648,-0.519192442215324,0
"Urea",0.0241,0,0.159,0.005,0.0241,0.48,0.4149377593361,-0.4149377593361,1.2448132780083,0.1589,0.0084,0.052863436123348,0.005,0.0237,0.0476,-1.6597510373444,-2.9045643153527,0,0.159,-0.008,0.0124,-19.875,12.8225806451613,0.005,0.001,0.146521253000168,0.0606393367992865,5.07821256761538e-128
"Vitamin D",0.0344,0,0.1973,0.001,0.0344,0.9529,0,-0.581395348837209,0.581395348837209,0.1971,0.0103,0.052257737189244,0.001,0.0348,0.403,1.16279069767442,-1.74418604651163,4.36046511627907,0.1919,0.0295,0.029,6.50508474576271,6.61724137931034,0.001,1e-08,-0.0210373451923248,0.154314470263243,1.08501084923212e-175
"Waist circumference",0.0584,0,0.2287,0.05,0.0587,0.0954,0.513698630136986,-0.171232876712329,1.1986301369863,0.229,-0.0162,-0.0707423580786026,0.05,0.0589,0.0324,0.856164383561644,0,1.54109589041096,0.229,0.0117,-0.0099,19.5726495726496,-23.1313131313131,0.05,0.5,0.467397373656214,-0.187510557176396,0
"Whole body fat mass",0.072,0,0.2756,0.1,0.0733,0.0016,1.94444444444444,0.833333333333333,3.05555555555556,0.276,-0.038,-0.13768115942029,0.1,0.0727,0.002,0.972222222222222,0.277777777777778,1.66666666666667,0.2791,0.0223,-0.0015,12.5156950672646,-186.066666666667,0.1,0.5,-0.191385193942116,-0.152984015032227,0
"WHR adj BMI",0.0391,0,0.1511,0.01,0.0422,2e-04,7.92838874680307,4.85933503836317,11.2531969309463,0.1515,-0.045,-0.297029702970297,0.01,0.0517,2e-04,32.2250639386189,25.5754475703325,39.1304347826087,0.1393,0.0139,-0.0732,10.021582733813,-1.90300546448087,0.01,1e-04,0.670910333908772,-0.259293795398898,2.87730223824929e-217
